Date,PM10 (ug/m3),NOx (ppb),SO2 (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm)
09-01-2019,42.92,27.52,2.23,86.9,0.35,236.81,78.08,997.79,0.04,28.8,0.03
10-01-2019,135.84,40.26,6.62,73.98,0.56,286.76,137.49,999.56,0.04,29.39,0.01
11-01-2019,174.28,78.42,8.41,75.36,0.37,261.95,92.67,997.86,0.04,25.9,0.01
12-01-2019,168.43,30.99,13.18,69.6,0.28,233.31,74.69,997.7,0.04,22.94,0
09-02-2019,24.21,27.63,1.94,86.08,0.54,164.83,150.8,996.94,0.02,28.41,0.03
10-02-2019,298.68,37.31,5.35,77.78,0.33,230.44,81.92,999.58,0.04,29.62,0.02
11-02-2019,143.17,65.34,9.43,70.67,0.54,315.03,92.05,733.5,0.05,26.58,0
12-02-2019,143.79,34.57,16.91,59.11,0.39,269.65,76.57,997.11,0.05,22.87,0
09-03-2019,15.31,20.8,2.89,87.16,0.73,137.73,329.56,997.2,0.03,33.01,0.03
10-03-2019,114.07,39.3,4.56,83,0.31,167.36,101.96,999.62,0.03,28.02,0.03
11-03-2019,123.95,59.34,6.42,70.66,0.43,303.95,92.34,998.58,0.04,26.65,0
12-03-2019,161.55,36.22,16.32,60.89,0.28,233.93,76.51,997.78,0.04,21.56,0
09-04-2019,17.43,23.34,2.13,98.72,0.46,152.55,37.65,995.9,0.05,23.03,0.06
10-04-2019,90.76,24.62,5.85,81.72,0.25,166.13,110.12,999.95,0.03,28.79,0.02
11-04-2019,129.87,90.5,6.16,73.63,0.34,261.42,86.25,998.51,0.04,26.27,0.01
12-04-2019,181.33,34.1,21.29,56.37,0.54,320.6,83.32,997.73,0.06,21.72,0
09-05-2019,19.98,20.28,2.35,89.49,0.9,147.03,110.46,995.81,0,28.28,0.04
10-05-2019,92.04,43.76,3.8,87.31,0.28,171.41,128.45,999.38,0.03,28,0.04
11-05-2019,223.88,89.98,9.17,70.82,0.45,290.81,86.95,998,0.04,26.38,0
12-05-2019,164.12,36.13,20.88,64.89,0.55,303.56,83.1,998.45,0.05,21.31,0
09-06-2019,17.41,24.26,2.42,87.67,0.93,148.25,116.58,994.78,-0.01,28.51,0.04
10-06-2019,116.18,30.93,3.82,84.92,0.24,180.79,86.69,999.45,0.04,28.08,0.03
11-06-2019,263.59,80.39,9.27,61.51,0.43,307.36,86.01,998.42,0.04,25.61,0
12-06-2019,117.77,32.2,12.37,70.63,0.23,190.82,80.71,998.99,0.04,22.26,0
09-07-2019,19.31,24.41,2.31,95.11,0.9,145.16,62.22,995.6,0,27.37,0.05
10-07-2019,131.65,33.36,4.54,88.09,0.34,200.02,78.48,999.67,0.04,26.57,0.04
11-07-2019,166.43,88.86,10.68,62.13,0.34,301.44,82.71,998.63,0.05,24.86,0
12-07-2019,126.21,43.46,15.55,66.21,0.19,222.61,70.94,998.28,0.04,23.04,0
09-08-2019,19.55,25.65,2.05,94.64,0.58,141.11,78.3,997.71,0.01,27.48,0.05
10-08-2019,111.89,32.27,3.92,82.4,0.55,161.64,121.81,999.51,0.02,27.28,0.03
11-08-2019,95.22,50,3.71,84.36,0.52,210.64,55.42,999.57,-0.03,23.57,0.03
12-08-2019,99.27,36.89,16.99,64.45,0.2,248.15,78.77,997.67,0.04,23.85,0
30-08-2019,26.75,25.38,1.83,75.86,0.53,145.82,214.2,997.22,0.02,30.54,0.01
31-08-2019,29.31,21.52,2.6,79.95,0.47,151.57,136.99,997.32,0.02,29.7,0.02
09-09-2019,24.88,21.2,2.58,87.21,0.38,138.11,114.42,997.91,0.01,28.85,0.04
10-09-2019,77.26,21.71,4.1,95.23,0.38,182.71,83.95,999.89,0.02,25.14,0.05
11-09-2019,37.48,27.68,2.92,97.61,0.56,206.51,57.07,1000.17,-0.12,22.52,0.05
12-09-2019,98.99,30.11,16.2,60.11,0.37,280.85,68.95,998.87,0.05,23.19,0
13-09-2019,28.83,24.17,3.32,90.02,0.51,139.24,99.16,1000.15,-0.01,27.87,0.04
14-09-2019,36.55,22.75,3.57,85.9,0.44,141.61,115.04,1000.25,0.01,28.83,0.03
15-09-2019,38.32,18.93,5.73,80.17,0.31,143.95,127.98,999.9,0.01,29.64,0.02
16-09-2019,33.76,19.55,4.47,81.62,0.43,145.63,133.33,999.25,0.01,29.47,0.02
17-09-2019,32.19,19.09,3.81,78.28,0.64,136.23,139.23,1000.27,0.01,29.59,0.02
18-09-2019,23.44,18.8,4.28,84.27,0.71,154.37,125.28,1000.05,0.02,28.71,0.03
19-09-2019,17.76,17.65,3.83,80.96,0.45,154.81,123.87,1000.22,0.03,29.36,0.02
20-09-2019,33.03,41.34,4.4,84.41,0.25,228.84,95.34,999.6,0.04,28.79,0.03
21-09-2019,45.06,34.6,5.51,86.7,0.3,243.91,85.41,999.64,0.04,27.42,0.03
22-09-2019,29.84,24.44,4.19,83.39,0.42,165.16,127.14,1000.1,0.04,28.04,0.03
23-09-2019,23.97,22.04,4.24,84.44,0.85,149.58,106.71,999.9,0,28.4,0.03
24-09-2019,24.88,21.29,3.97,93.48,0.92,142.68,83.52,999.98,-0.01,25.92,0.05
25-09-2019,16.48,25.21,3.99,97.71,0.49,165.67,54.82,999.73,0.03,24.8,0.05
26-09-2019,19.66,28.65,3.91,92.49,0.47,163.08,96.55,999.94,0.03,25.59,0.04
27-09-2019,23.37,30.44,4.17,90.53,0.23,173.19,88.81,999.93,0.04,26.05,0.04
28-09-2019,28,29.35,4.43,94.86,0.35,169.12,74.44,999.79,0.04,25.33,0.05
29-09-2019,18.65,23.96,3.5,93.08,0.46,146.78,85.49,1000.11,0.03,25.23,0.05
30-09-2019,19.57,25.51,3.83,88.7,0.39,160.92,102.91,1000.16,0.02,26.2,0.04
09-10-2019,31.69,16.08,3.37,85.44,0.31,154.03,95.8,998.17,0.02,29.44,0.03
10-10-2019,171.83,44.85,4.73,87.26,0.29,278.19,97.57,998.72,0.05,26.35,0.04
11-10-2019,54.2,33.69,4.25,87.48,1.05,313.99,92.01,998.65,0.03,24.27,0.04
12-10-2019,119.03,32.6,16.11,53.15,0.28,180.1,69.76,998.9,0.04,22.11,0
13-10-2019,106.24,49.14,7.81,78.47,0.29,268.54,67.69,999.21,0.04,27.96,0.02
14-10-2019,103.23,50.13,7.74,66.38,0.38,287.79,103.11,999.13,0.04,28.14,0
15-10-2019,112.34,44.63,6.58,65.25,0.35,255.92,109.71,998.95,0.03,28.39,0
16-10-2019,84.91,44.95,4.8,82.08,0.2,212.01,82.62,999.09,0.04,26.82,0.03
17-10-2019,68.1,58.18,5.64,90.37,0.2,242.68,71.6,998.05,0.04,26.27,0.04
18-10-2019,79.35,78.32,6.17,80.54,0.26,185.96,101.62,996.77,0.04,28.02,0.02
19-10-2019,127.37,60.93,4.97,77.32,0.26,207.6,89.13,998.48,0.03,28.79,0.02
20-10-2019,124.72,57.84,5.81,73.97,0.23,235.2,90.08,999.05,0.03,28.74,0.01
21-10-2019,150.6,52.78,9.05,77.25,0.47,310.38,91.73,998.63,0.05,28.39,0.02
22-10-2019,142.74,66.19,8.72,76.06,0.33,270.46,87.9,998.25,0.04,28.26,0.01
23-10-2019,141.88,55.12,8.5,82.21,0.32,234.48,69.96,998.54,0.03,26.85,0.03
24-10-2019,87.04,38.66,3.72,96.11,0.35,214.14,50.43,999.67,-0.02,22.9,0.05
25-10-2019,65.53,32.71,4.56,98.06,0.8,179.83,53.7,999.75,-0.01,22.41,0.06
26-10-2019,84.17,42.89,7.15,91.9,0.43,304.81,73.37,998.57,0.05,23.37,0.04
